,acc_mean,acc_std,spec_mean,spec_std,sens_mean,sens_std,f1_score_mean,f1_score_std,auc_mean,auc_std
0,0.8389310579643784,0.05805706459128288,0.8373876255949234,0.056424205410078886,0.8421652421652421,0.09848199705676053,0.7603885912162355,0.08110084843742908,0.9038579054179265,0.044756606353221776
1,0.8448592863935754,0.04583178481261018,0.8472236911686937,0.047133741509576464,0.8396011396011396,0.0776482646896245,0.7670874205321008,0.06383653661968719,0.9051711058982344,0.04112686045405534
2,0.8379470313362216,0.03416428069877975,0.8489159175039662,0.044017171005852514,0.8125356125356126,0.04491676849006576,0.7532986377424855,0.0464969962592263,0.9059653162905409,0.025281481448981007
3,0.836695754523147,0.03717720082119312,0.8372554204124801,0.05554848963681232,0.8353276353276353,0.06746243837178309,0.7571921926936006,0.05118277802942187,0.9023221407145258,0.02657506620570181
4,0.8413581768870417,0.04092439018091164,0.8423320994182971,0.050476769693531695,0.8393162393162393,0.08527470546084291,0.7622670794010185,0.05808483040745492,0.9063324775778503,0.024215386091709767
5,0.8414594413722657,0.040272361890045634,0.8523268112109994,0.04637146480437292,0.815954415954416,0.07680639034108618,0.7571992517582773,0.05816651924830323,0.900462454481492,0.03157800029654063
6,0.8388779307996665,0.026419850796381303,0.8357747223691169,0.03948390497872516,0.8461538461538461,0.06173862140436027,0.7606719719824324,0.03643117213788677,0.9043587408341507,0.020832114051302753
7,0.841460615453254,0.0400363666943456,0.8392120571126389,0.0568519731158785,0.8465811965811966,0.042132745234997056,0.7658449041815018,0.04675823942059187,0.9026881720430108,0.025577127896436364
8,0.8388918730114003,0.034234959069720905,0.8389212057112638,0.027100398499180597,0.839031339031339,0.05741288599761956,0.7592927607941105,0.05083063400182423,0.9038493930614502,0.02437642366102947
9,0.8390192607986098,0.023962190753086768,0.842358540454786,0.03042553420981556,0.8310541310541311,0.05235192935419164,0.7574348765154579,0.03511217088304968,0.9002500222225235,0.020724591761511525
10,0.834525465816632,0.03289046176382665,0.8423320994182972,0.04573963820027203,0.8163817663817664,0.049084152058765956,0.7500561937545641,0.041880269202385585,0.9034039632929108,0.029634572614904136
11,0.8367999542108414,0.038800227738804594,0.8455843469063987,0.047881935654214294,0.8162393162393162,0.0698557837323164,0.7525521984691379,0.051526334045192454,0.8962687253009834,0.035644980410266626
12,0.8391608843178002,0.048458772229284915,0.8408249603384453,0.05613912149395066,0.8353276353276353,0.06223685686198195,0.7603206498389723,0.0645109988114785,0.9020053755907803,0.028686841648713702
13,0.8390329094900967,0.01700973029590822,0.8504759386567953,0.031235639224467975,0.8126780626780625,0.07271727474996093,0.7525524088912017,0.0296442661050914,0.900994024777737,0.02695081115314673
14,0.8400917837812454,0.045754697902945625,0.8407191961924907,0.045554184330009156,0.8383190883190885,0.08236094719196083,0.7606211978000537,0.06891147452449502,0.9011792626943341,0.04404904553406047
15,0.8412682129313278,0.042214364364916816,0.8420412480169223,0.05239319235643221,0.8403133903133904,0.1031056650202509,0.7615715969696877,0.061475025746972695,0.9019851116625311,0.03853354555338277
16,0.8420290174116211,0.05043694377557887,0.8436277102062402,0.056271992513829305,0.8384615384615385,0.06672143268811535,0.7642177004862722,0.0712203533197562,0.9022359248562315,0.03888097351776085
17,0.8367848379181195,0.027036747230934056,0.8406663141195134,0.024874031786590364,0.8277777777777777,0.06017890525067859,0.7538548795585804,0.043004248974140166,0.8992875232959843,0.02747150193643596
18,0.8411767813743793,0.024500614804351832,0.837414066631412,0.035640212348214795,0.8498575498575498,0.05597112451515001,0.7641770681181433,0.03386971831076637,0.9037872453261138,0.02421531806531416
19,0.8334274065725052,0.04253845252172237,0.8390005288207298,0.035309120941053096,0.8202279202279202,0.10142170039987665,0.747260425605196,0.06882210447393279,0.9013930132385974,0.04235110855285283
20,0.833169695795616,0.031383372360657434,0.8357218402961395,0.038253710608786566,0.8267806267806268,0.06407153411678904,0.7499781334865046,0.04690689612479607,0.8986303392437712,0.02815378902365739
21,0.832007502377514,0.039225025200427956,0.8355631940772078,0.04759363799228692,0.8237891737891736,0.06085155966796105,0.7488375621745464,0.054201277141643765,0.9001483259283367,0.03484353678202184
22,0.8366574501309099,0.03503943440842624,0.8371232152300371,0.048431000763680045,0.8360398860398861,0.10311550496204047,0.7547425925275675,0.05602725207980333,0.9011768144502147,0.03257635562015492
23,0.8299408263181995,0.0305841851455294,0.8276573241671074,0.03650621515434481,0.835042735042735,0.08119608136998156,0.7474127316067328,0.04855606902674607,0.9000470062870909,0.02682297794919832
24,0.8401039648714969,0.036539555850367764,0.8535430988894763,0.061842238148301545,0.8096866096866098,0.08999241947532596,0.7543348160646266,0.049870079627420814,0.9006046786321773,0.02667863558024808
25,0.8392012433517664,0.04411807209979866,0.8407985193019567,0.05081379065496173,0.8350427350427351,0.06099395060873086,0.7601229484263461,0.05663022311047725,0.9014737676292409,0.030703997872691072
26,0.8344349148204243,0.03339541012548863,0.8308038075092543,0.053072561465014476,0.8433048433048433,0.058244517019150684,0.7560110132879913,0.03775537122808848,0.9059977084435044,0.01999788526426864
27,0.8356630035339838,0.04032093990227568,0.8405605499735589,0.04674398361495059,0.824216524216524,0.06638910246442141,0.7531236369550525,0.05736923520676009,0.8989478200081056,0.03581745153396842
28,0.8355590973665363,0.03421247733472277,0.8389212057112638,0.03485301732837255,0.8279202279202279,0.06630836091537069,0.7529322225015472,0.0498697796324343,0.9056511124067972,0.03540226299931007
29,0.8412284409378559,0.03351773205758735,0.8438656795346378,0.04672861323975923,0.8349002849002849,0.0774054989609204,0.7608251073202837,0.04883688741373418,0.9046390836184596,0.03095591335572779
